course_name,theory_credits,practical_credits,total_credits,note,class
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Tiếng Anh 2,2,0,2,,24JIT-KS
Tiếng Anh 3,2,0,2,,24JIT-KS
Giải tích 2,2,0,2,,24JIT-KS
Vật lý,2,0,2,,24JIT-KS
Giáo dục thể chất 3,0,1,1,,24JIT-KS
Kiến trúc máy tính,2,0,2,,24JIT-KS
Nguyên lý hệ điều hành,2,0,2,,24JIT-KS
Phân tích và thiết kế hệ thống,3,0,3,,24JIT-KS
Công nghệ và lập trình web,2,1,3,,24JIT-KS
Đồ án cơ sở 2 (IT),0,1,1,,24JIT-KS
Tiếng Nhật 1,2,0,2,,24JIT-KS
TỔNG,17,3,20,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Tiếng Anh 2,2,0,2,,24GT-KS
Tiếng Anh 3,2,0,2,,24GT-KS
Giải tích 2,2,0,2,,24GT-KS
Vật lý,2,0,2,,24GT-KS
Giáo dục thể chất 3,0,1,1,,24GT-KS
Kiến trúc máy tính,2,0,2,,24GT-KS
Nguyên lý hệ điều hành,2,0,2,,24GT-KS
Phân tích và thiết kế hệ thống,3,0,3,,24GT-KS
Công nghệ và lập trình web,2,1,3,,24GT-KS
Đồ án cơ sở 2 (IT),0,1,1,,24GT-KS
Tiếng Hàn 2,3,0,3,Tự chọn,24GT-KS
TỔNG,18,3,21,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Tiếng Anh 1,3,0,3,,"25GIT-KS,25IT-KS,25GT-KS"
Nhập môn ngành và kỹ năng mềm (IT),1,1,2,,"25GIT-KS,25IT-KS,25GT-KS"
Lập trình cơ bản,2,1,3,,"25GIT-KS,25IT-KS,25GT-KS"
Giải tích 1,2,0,2,,"25GIT-KS,25IT-KS,25GT-KS"
Giáo dục thể chất 1,0,1,1,,"25GIT-KS,25IT-KS,25GT-KS"
Lập trình hướng đối tượng,2,1,3,,"25GIT-KS,25IT-KS,25GT-KS"
Cơ sở dữ liệu,2.5,0.5,3,,"25GIT-KS,25IT-KS,25GT-KS"
Tiếng Anh chuyên ngành 1 (IT),1,1,2,,"25GIT-KS,25IT-KS,25GT-KS"
TỔNG,13.5,5.5,19,,
,,,,,
,,,,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Chủ nghĩa xã hội khoa học,2,0,2,,"22GIT-CN,22SE1B->2B"
Lịch sử Đảng Cộng sản Việt Nam,2,0,2,,"22GIT-CN,22SE1B->2B"
Quản trị dự án phần mềm,2,0,2,,"22GIT-CN,22SE1B->2B"
Phân tích và thiết kế giải thuật,1.5,0.5,2,,"22GIT-CN,22SE1B->2B"
Thiết kế UX/UI,1.5,0.5,2,,"22GIT-CN,22SE1B->2B"
Chuyên đề 3 (IT),2,0,2,AI-Data Science Projects/ Hệ khuyến nghị,"22GIT-CN,22SE1B->2B"
Đồ án chuyên ngành 2 (IT),0,1,1,,"22GIT-CN,22SE1B->2B"
Bảo mật và An toàn hệ thống thông tin,1.5,0.5,2,,"22GIT-CN,22SE1B->2B"
TỔNG,12.5,2.5,15,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Chủ nghĩa xã hội khoa học,2,0,2,,22KIT-CN
Lịch sử Đảng Cộng sản Việt Nam,2,0,2,,22KIT-CN
Quản trị dự án phần mềm,2,0,2,,22KIT-CN
Thiết kế UX/UI,1.5,0.5,2,,22KIT-CN
Đồ án chuyên ngành 2 (IT),0,1,1,,22KIT-CN
Phát triển ứng dụng di động đa nền tảng,1.5,0.5,2,,22KIT-CN
Tiếng Hàn doanh nghiệp 3,3,0,3,,22KIT-CN
TỔNG,12,2,14,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Chủ nghĩa xã hội khoa học,2,0,2,,22MCB
Lịch sử Đảng Cộng sản Việt Nam,2,0,2,,22MCB
Thiết kế nhân vật 3 chiều,1,1,2,,22MCB
Chuyên đề 3 (IT),2,0,2,Quy trình sản xuất phim và Game,22MCB
Đồ án chuyên ngành 2 (IT),0,1,1,,22MCB
Biên tập phim kỹ thuật số,1,1,2,,22MCB
Kịch bản truyền thông,1,1,2,,22MCB
Thiết kế hình hiệu (TV intro),1,1,2,,22MCB
TỔNG,10,5,15,,
,,,,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Triết học Mác - Lênin,3,0,3,,"23GITB,23SE4->5"
Pháp luật đại cương,2,0,2,,"23GITB,23SE4->5"
Lập trình mạng,1.5,0.5,2,,"23GITB,23SE4->5"
Trí tuệ nhân tạo,2,1,3,,"23GITB,23SE4->5"
Đồ án cơ sở 4 (IT),0,1,1,,"23GITB,23SE4->5"
Thực tập thực tế (IT),0,1,1,,"23GITB,23SE4->5"
Kho dữ liệu,1.5,0.5,2,,"23GITB,23SE4->5"
TỔNG,7,4,14,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Triết học Mác - Lênin,3,0,3,,23JIT-CN
Pháp luật đại cương,2,0,2,,23JIT-CN
Lập trình mạng,1.5,0.5,2,,23JIT-CN
Trí tuệ nhân tạo,2,1,3,,23JIT-CN
Đồ án cơ sở 4 (IT),0,1,1,,23JIT-CN
Thực tập thực tế (IT),0,1,1,,23JIT-CN
Tiếng Nhật 2,2,0,2,,23JIT-CN
Chuyên đề 2 (IT),2,0,2,Khởi nghiệp thực tế,23JIT-CN
TỔNG,12.5,3.5,16,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Triết học Mác - Lênin,3,0,3,,23KIT-CN
Pháp luật đại cương,2,0,2,,23KIT-CN
Lập trình mạng,1.5,0.5,2,,23KIT-CN
Trí tuệ nhân tạo,2,1,3,,23KIT-CN
Đồ án cơ sở 4 (IT),0,1,1,,23KIT-CN
Thực tập thực tế (IT),0,1,1,,23KIT-CN
Tiếng Hàn doanh nghiệp 1,2,0,2,,23KIT-CN
TỔNG,10.5,3.5,14,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Triết học Mác - Lênin,3,0,3,,23MC-CN
Pháp luật đại cương,2,0,2,,23MC-CN
Xác suất thống kê,2,0,2,,23MC-CN
Toán rời rạc,2,0,2,,23MC-CN
Trí tuệ nhân tạo,2,1,3,,23MC-CN
Đồ án cơ sở 4 (IT),0,1,1,,23MC-CN
Thực tập thực tế (IT),0,1,1,,23MC-CN
Xử lý ảnh cơ bản,1,1,2,,23MC-CN
Chuyên đề 1 (IT),2,0,2,Luật phối cảnh,23MC-CN
TỔNG,14,4,18,,
,,,,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Tiếng Anh 2,2,0,2,,"24GIT2,24IT5->7"
Tiếng Anh 3,2,0,2,,"24GIT2,24IT5->7"
Giải tích 2,2,0,2,,"24GIT2,24IT5->7"
Vật lý,2,0,2,,"24GIT2,24IT5->7"
Giáo dục thể chất 2,0,1,1,,"24GIT2,24IT5->7"
Kiến trúc máy tính,2,0,2,,"24GIT2,24IT5->7"
Nguyên lý hệ điều hành,2,0,2,,"24GIT2,24IT5->7"
Phân tích và thiết kế hệ thống,3,0,3,,"24GIT2,24IT5->7"
Công nghệ và lập trình web,2,1,3,,"24GIT2,24IT5->7"
Đồ án cơ sở 2 (IT),0,1,1,,"24GIT2,24IT5->7"
Tiếng Hàn 2,3,0,3,Tự chọn,"24GIT2,24IT5->7"
TỔNG,18,3,21,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Tiếng Anh 2,2,0,2,,24JIT-CN
Tiếng Anh 3,2,0,2,,24JIT-CN
Giải tích 2,2,0,2,,24JIT-CN
Vật lý,2,0,2,,24JIT-CN
Giáo dục thể chất 2,0,1,1,,24JIT-CN
Kiến trúc máy tính,2,0,2,,24JIT-CN
Nguyên lý hệ điều hành,2,0,2,,24JIT-CN
Phân tích và thiết kế hệ thống,3,0,3,,24JIT-CN
Công nghệ và lập trình web,2,1,3,,24JIT-CN
Đồ án cơ sở 2 (IT),0,1,1,,24JIT-CN
Tiếng Nhật 1,2,0,2,,24JIT-CN
TỔNG,17,3,20,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Tiếng Anh 1,3,0,3,,"25GIT-CN,25IT-CN"
Nhập môn ngành và kỹ năng mềm (IT),1,1,2,,"25GIT-CN,25IT-CN"
Lập trình cơ bản,2,1,3,,"25GIT-CN,25IT-CN"
Giải tích 1,2,0,2,,"25GIT-CN,25IT-CN"
Cơ sở dữ liệu,2.5,0.5,3,,"25GIT-CN,25IT-CN"
Lập trình hướng đối tượng,2,1,3,,"25GIT-CN,25IT-CN"
Tiếng Anh chuyên ngành 1 (IT),1,1,2,,"25GIT-CN,25IT-CN"
TỔNG,13.5,4.5,18,,
,,,,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Chủ nghĩa xã hội khoa học,2,0,2,,22ITe
Lịch sử Đảng Cộng sản Việt Nam,2,0,2,,22ITe
Quản trị dự án phần mềm,2,0,2,,22ITe
Phân tích và thiết kế giải thuật,1.5,0.5,2,,22ITe
Thiết kế UX/UI,1.5,0.5,2,,22ITe
Chuyên đề 3 (IT),2,0,2,Blockchain,22ITe
Đồ án chuyên ngành 2 (IT),0,1,1,,22ITe
Bảo mật và An toàn hệ thống thông tin,1.5,0.5,2,,22ITe
TỔNG,12.5,2.5,15,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Triết học Mác - Lênin,3,0,3,,23ITe1->2
Pháp luật đại cương,2,0,2,,23ITe1->2
Lập trình mạng,1.5,0.5,2,,23ITe1->2
Trí tuệ nhân tạo,2,1,3,,23ITe1->2
Đồ án cơ sở 4 (IT),0,1,1,,23ITe1->2
Thực tập thực tế (IT),0,1,1,,23ITe1->2
Kho dữ liệu,1.5,0.5,2,,23ITe1->2
TỔNG,10,4,14,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Tiếng Anh 2,2,0,2,,"24GITe,24ITe"
Tiếng Anh 3,2,0,2,,"24GITe,24ITe"
Giải tích 2,2,0,2,,"24GITe,24ITe"
Vật lý,2,0,2,,"24GITe,24ITe"
Giáo dục thể chất 2,0,1,1,,"24GITe,24ITe"
Kiến trúc máy tính,2,0,2,,"24GITe,24ITe"
Nguyên lý hệ điều hành,2,0,2,,"24GITe,24ITe"
Phân tích và thiết kế hệ thống,3,0,3,,"24GITe,24ITe"
Công nghệ và lập trình web,2,1,3,,"24GITe,24ITe"
Đồ án cơ sở 2 (IT),0,1,1,,"24GITe,24ITe"
Tiếng Hàn 2,3,0,3,Tự chọn,"24GITe,24ITe"
TỔNG,20,3,21,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Tiếng Anh 1,3,,3,,25GITe
Nhập môn ngành và kỹ năng mềm,1,1,2,,25GITe
Lập trình cơ bản,2,1,3,,25GITe
Giải tích 1,2,,2,,25GITe
Cơ sở dữ liệu,2.5,0.5,3,,25GITe
Lập trình hướng đối tượng,2,1,3,,25GITe
Tiếng Anh chuyên ngành 1 (IT),1,1,2,,25GITe
TỔNG,13.5,4.5,18,,
,,,,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Xác suất thống kê,2,,2,,23AI
Phân tích và thiết kế giải thuật,1.5,0.5,2,,23AI
Đồ họa máy tính,2,1,3,,23AI
Đồ án cơ sở 4 (IT),,1,1,,23AI
Thực tập thực tế (IT),,1,1,,23AI
Tiếng Anh nâng cao 3,2,0,2,,23AI
Toán cho học máy,2,1,3,,23AI
Học máy,2,1,3,,23AI
Chuyên đề 1 (IT),2,,2,Phân tích dữ liệu tài chính,23AI
Kho dữ liệu,1.5,0.5,2,,23AI
TỔNG,15,6,21,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Tiếng Anh 2,2,0,2,,24AI
Tiếng Anh 3,2,0,2,,24AI
Giải tích 2,2,0,2,,24AI
Vật lý,2,0,2,,24AI
Giáo dục thể chất 3,0,1,1,,24AI
Mạng máy tính,2,1,3,,24AI
Phân tích và thiết kế hệ thống,3,0,3,,24AI
Công nghệ và lập trình web,2,1,3,,24AI
Xác suất thống kê,2,0,2,,24AI
Đồ án cơ sở 2 (IT),0,1,1,,24AI
Tiếng Hàn 2,3,0,3,Tự chọn,24AI
TỔNG,18,4,22,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Tiếng Anh 1,3,0,3,,"25AI,25AI-DL"
Nhập môn ngành và kỹ năng mềm (IT),1,1,2,,"25AI,25AI-DL"
Lập trình cơ bản,2,1,3,,"25AI,25AI-DL"
Giải tích 1,2,0,2,,"25AI,25AI-DL"
